English,Infinitive,Present Participle Type,Present Participle,Past Participle Type,Past Participle,Regular Type,Present Yo,Present Tú,Present Él,Present Nosotros,Present Ellos,Preterite Type,Preterite Yo,Preterite Tú,Preterite Él,Preterite Nosotros,Preterite Ellos,Imperfect Type,Imperfect Yo,Imperfect Tú,Imperfect Él,Imperfect Nosotros,Imperfect Ellos,Conditional Type,Conditional Yo,Conditional Tú,Conditional Él,Conditional Nosotros,Conditional Ellos,Simple Future Type,Simple Future Yo,Simple Future Tú,Simple Future Él,Simple Future Nosotros,Simple Future Ellos,Present Subjunctive Type,Present Subjunctive Yo,Present Subjunctive Tú,Present Subjunctive Él,Present Subjunctive Nosotros,Present Subjunctive Ellos,Imperfect Subjunctive Type,Imperfect Subjunctive Yo,Imperfect Subjunctive Tú,Imperfect Subjunctive Él,Imperfect Subjunctive Nosotros,Imperfect Subjunctive Ellos
To know,Conocer,Regular,Conociendo,Regular,Conocido,Irregular,Conozco,Conoces,Conoce,Conocemos,Conocen,Regular,Conocí,Conociste,Conoció,Conocimos,Conocieron,Regular,Conocía,Conocías,Conocía,Conocíamos,Conocían,Regular,Conocería,Conocerías,Conocería,Conoceríamos,Conocerían,Regular,Conoceré,Conocerás,Conocerá,Conoceremos,Conocerán,Irregular,Conozca,Conozcas,Conozca,Conozcamos,Conozcan,Regular,Conociera,Conocieras,Conociera,Conociéramos,Conocieran
To learn,Aprender,Regular,Aprendiendo,Regular,Aprendido,Regular,Aprendo,Aprendes,Aprende,Aprendemos,Aprenden,Regular,Aprendí,Aprendiste,Aprendió,Aprendimos,Aprendieron,Regular,Aprendía,Aprendías,Aprendía,Aprendíamos,Aprendían,Regular,Aprendería,Aprenderías,Aprendería,Aprenderíamos,Aprenderían,Regular,Aprenderé,Aprenderás,Aprenderá,Aprenderemos,Aprenderán,Regular,Aprenda,Aprendas,Aprenda,Aprendamos,Aprendan,Regular,Aprendiera,Aprendieras,Aprendiera,Aprendiéramos,Aprendieran
To leave,Salir,Regular,Saliendo,Regular,Salido,Irregular,Salgo,Sales,Sale,Salimos,Salen,Regular,Salí,Saliste,Salió,Salimos,Salieron,Regular,Salía,Salías,Salía,Salíamos,Salían,Irregular,Saldría,Saldrías,Saldría,Saldríamos,Saldrían,Irregular,Saldré,Saldrás,Saldrá,Saldremos,Saldrán,Irregular,Salga,Salgas,Salga,Salgamos,Salgan,Regular,Saliera,Salieras,Saliera,Saliéramos,Salieran
To listen,Escuchar,Regular,Escuchando,Regular,Escuchado,Regular,Escucho,Escuchas,Escucha,Escuchamos,Escuchan,Regular,Escuché,Escuchaste,Escuchó,Escuchamos,Escucharon,Regular,Escuchaba,Escuchabas,Escuchaba,Escuchábamos,Escuchaban,Regular,Escucharía,Escucharías,Escucharía,Escucharíamos,Escucharían,Regular,Escucharé,Escucharás,Escuchará,Escucharemos,Escucharán,Regular,Escuche,Escuches,Escuche,Escuchemos,Escuchen,Regular,Escuchara,Escucharas,Escuchara,Escucháramos,Escucharan
To live,Vivir,Regular,Viviendo,Regular,Vivido,Regular,Vivo,Vives,Vive,Vivimos,Viven,Regular,Viví,Viviste,Vivió,Vivimos,Vivieron,Regular,Vivía,Vivías,Vivía,Vivíamos,Vivían,Regular,Viviría,Vivirías,Viviría,Viviríamos,Vivirían,Regular,Viviré,Vivirás,Vivirá,Viviremos,Vivirán,Regular,Viva,Vivas,Viva,Vivamos,Vivan,Regular,Viviera,Vivieras,Viviera,Viviéramos,Vivieran
"To look, To watch",Mirar,Regular,Mirando,Regular,Mirado,Regular,Miro,Miras,Mira,Miramos,Miran,Regular,Miré,Miraste,Miró,Miramos,Miraron,Regular,Miraba,Mirabas,Miraba,Mirábamos,Miraban,Regular,Miraría,Mirarías,Miraría,Miraríamos,Mirarían,Regular,Miraré,Mirarás,Mirará,Miraremos,Mirarán,Regular,Mire,Mires,Mire,Miremos,Miren,Regular,Mirara,Miraras,Mirara,Miráramos,Miraran
To look for,Buscar,Regular,Buscando,Regular,Buscado,Regular,Busco,Buscas,Busca,Buscamos,Buscan,Orthographic,Busqué,Buscaste,Buscó,Buscamos,Buscaron,Regular,Buscaba,Buscabas,Buscaba,Buscábamos,Buscaban,Regular,Buscaría,Buscarías,Buscaría,Buscaríamos,Buscarían,Regular,Buscaré,Buscarás,Buscará,Buscaremos,Buscarán,Orthographic,Busque,Busques,Busque,Busquemos,Busquen,Regular,Buscara,Buscaras,Buscara,Buscáramos,Buscaran
To lose,Perder,Regular,Perdiendo,Regular,Perdido,Stem Changing,Pierdo,Pierdes,Pierde,Perdemos,Pierden,Regular,Perdí,Perdiste,Perdió,Perdimos,Perdieron,Regular,Perdía,Perdías,Perdía,Perdíamos,Perdían,Regular,Perdería,Perderías,Perdería,Perderíamos,Perderían,Regular,Perderé,Perderás,Perderá,Perderemos,Perderán,Stem Changing,Pierda,Pierdas,Pierda,Perdamos,Pierdan,Regular,Perdiera,Perdieras,Perdiera,Perdiéramos,Perdieran
"To mount, To ride",Montar,Regular,Montando,Regular,Montado,Regular,Monto,Montas,Monta,Montamos,Montan,Regular,Monté,Montaste,Montó,Montamos,Montaron,Regular,Montaba,Montabas,Montaba,Montábamos,Montaban,Regular,Montaría,Montarías,Montaría,Montaríamos,Montarían,Regular,Montaré,Montarás,Montará,Montaremos,Montarán,Regular,Monte,Montes,Monte,Montemos,Monten,Regular,Montara,Montaras,Montara,Montáramos,Montaran
To need,Necesitar,Regular,Necesitando,Regular,Necesitado,Regular,Necesito,Necesitas,Necesita,Necesitamos,Necesitan,Regular,Necesité,Necesitaste,Necesitó,Necesitamos,Necesitaron,Regular,Necesitaba,Necesitabas,Necesitaba,Necesitábamos,Necesitaban,Regular,Necesitaría,Necesitarías,Necesitaría,Necesitaríamos,Necesitarían,Regular,Necesitaré,Necesitarás,Necesitará,Necesitaremos,Necesitarán,Regular,Necesite,Necesites,Necesite,Necesitemos,Necesiten,Regular,Necesitara,Necesitaras,Necesitara,Necesitáramos,Necesitaran
To organize,Organizar,Regular,Organizando,Regular,Organizado,Regular,Organizo,Organizas,Organiza,Organizamos,Organizan,Orthographic,Organicé,Organizaste,Organizó,Organizamos,Organizaron,Regular,Organizaba,Organizabas,Organizaba,Organizábamos,Organizaban,Regular,Organizaría,Organizarías,Organizaría,Organizaríamos,Organizarían,Regular,Organizaré,Organizarás,Organizará,Organizaremos,Organizarán,Orthographic,Organice,Organices,Organice,Organicemos,Organicen,Regular,Organizara,Organizaras,Organizara,Organizáramos,Organizaran
To ought to,Deber,Regular,Debiendo,Regular,Debido,Regular,Debo,Debes,Debe,Debemos,Deben,Regular,Debí,Debiste,Debió,Debimos,Debieron,Regular,Debía,Debías,Debía,Debíamos,Debían,Regular,Debería,Deberías,Debería,Deberíamos,Deberían,Regular,Deberé,Deberás,Deberá,Deberemos,Deberán,Regular,Deba,Debas,Deba,Debamos,Deban,Regular,Debiera,Debieras,Debiera,Debiéramos,Debieran
To pay,Pagar,Regular,Pagando,Regular,Pagado,Regular,Pago,Pagas,Paga,Pagamos,Pagan,Orthographic,Pagué,Pagaste,Pagó,Pagamos,Pagaron,Regular,Pagaba,Pagabas,Pagaba,Pagábamos,Pagaban,Regular,Pagaría,Pagarías,Pagaría,Pagaríamos,Pagarían,Regular,Pagaré,Pagarás,Pagará,Pagaremos,Pagarán,Orthographic,Pague,Pagues,Pague,Paguemos,Paguen,Regular,Pagara,Pagaras,Pagara,Pagáramos,Pagaran
