English Infinitive,Spanish Infinitive,Present Participle Type,Spanish Present Participle,Regular Type,Spanish Present Yo,Spanish Present Tú,Spanish Present Él,Spanish Present Nosotros,Spanish Present Ellos,Prederite Type,Spanish Prederite Yo,Spanish Prederite Tú,Spanish Prederite Él,Spanish Prederite Nosotros,Spanish Prederite Ellos,Imperfect Type,Spanish Imperfect Yo,Spanish Imperfect Tú,Spanish Imperfect Él,Spanish Imperfect Nosotros,Spanish Imperfect Ellos
To play,Jugar,Regular,Jugando,Stem Changing,Juego,Juegas,Juega,Jugamos,Juegan,Orthographic,Jugué,Jugaste,Jugó,Jugamos,Jugaron,Regular,Jugaba,Jugabas,Jugaba,Jugábamos,Jugaban
To practice,Practicar,Regular,Practicando,Regular,Practico,Practicas,Practica,Practicamos,Practican,Orthographic,Practiqué,Practicaste,Practicó,Practicamos,Practicaron,Regular,Practicaba,Practicabas,Practicaba,Practicábamos,Practicaban
To prepare,Preparar,Regular,Preparando,Regular,Preparo,Preparas,Prepara,Preparamos,Preparan,Regular,Preparé,Preparaste,Preparó,Preparamos,Prepararon,Regular,Preparaba,Preparabas,Preparaba,Preparábamos,Preparaban
To put,Poner,Regular,Poniendo,Irregular,Pongo,Pones,Pone,Ponemos,Ponen,Irregular,Puse,Pusiste,Puso,Pusimos,Pusieron,Regular,Ponía,Ponías,Ponía,Poníamos,Ponían
To read,Leer,Irregular,Leyendo,Regular,Leo,Lees,Lee,Leemos,Leen,Orthographic,Leí,Leíste,Leyó,Leímos,Leyeron,Regular,Leía,Leías,Leía,Leíamos,Leían
To receive,Recibir,Regular,Recibiendo,Regular,Recibo,Recibes,Recibe,Recibimos,Reciben,Regular,Recibí,Recibiste,Recibió,Recibimos,Recibieron,Regular,Recibía,Recibías,Recibía,Recibíamos,Recibían
To relax,Descansar,Regular,Descansando,Regular,Descanso,Descansas,Descansa,Descansamos,Descansan,Regular,Descansé,Descansaste,Descansó,Descansamos,Descansaron,Regular,Descansaba,Descansabas,Descansaba,Descansábamos,Descansaban
To return,Regresar,Regular,Regresando,Regular,Regreso,Regresas,Regresa,Regresamos,Regresan,Regular,Regresé,Regresaste,Regresó,Regresamos,Regresaron,Regular,Regresaba,Regresabas,Regresaba,Regresábamos,Regresaban
To ride,Montar,Regular,Montando,Regular,Monto,Montas,Monta,Montamos,Montan,Regular,Monté,Montaste,Montó,Montamos,Montaron,Regular,Montaba,Montabas,Montaba,Montábamos,Montaban
To run,Correr,Regular,Corriendo,Regular,Corro,Corres,Corre,Corremos,Corren,Regular,Corrí,Corriste,Corrió,Corrimos,Corrieron,Regular,Corría,Corrías,Corría,Corríamos,Corrían
To say,Decir,Stem Changing,Diciendo,"Irregular, Stem Changing",Digo,Dices,Dice,Decimos,Dicen,Irregular,Dije,Dijiste,Dijo,Dijimos,Dijeron,Regular,Decía,Decías,Decía,Decíamos,Decían
To see,Ver,Regular,Viendo,Irregular,Veo,Ves,Ve,Vemos,Ven,Irregular,Vi,Viste,Vio,Vimos,Vieron,Irregular,Veía,Veías,Veía,Veíamos,Veían
To show,Mostrar,Regular,Mostrando,Stem Changing,Muestro,Muestras,Muestra,Mostramos,Muestran,Regular,Mostré,Mostraste,Mostró,Mostramos,Mostraron,Regular,Mostraba,Mostrabas,Mostraba,Mostrábamos,Mostraban
To sing,Cantar,Regular,Cantando,Regular,Canto,Cantas,Canta,Cantamos,Cantan,Regular,Canté,Cantaste,Cantó,Cantamos,Cantaron,Regular,Cantaba,Cantabas,Cantaba,Cantábamos,Cantaban
To sleep,Dormir,Stem Changing,Durmiendo,Stem Changing,Duermo,Duermes,Duerme,Dormimos,Duermen,Stem Changing,Dormí,Dormiste,Durmió,Dormimos,Durmieron,Regular,Dormía,Dormías,Dormía,Dormíamos,Dormían
To speak,Hablar,Regular,Hablando,Regular,Hablo,Hablas,Habla,Hablamos,Hablan,Regular,Hablé,Hablaste,Habló,Hablamos,Hablaron,Regular,Hablaba,Hablabas,Hablaba,Hablábamos,Hablaban
To spend time,Pasar,Regular,Pasando,Regular,Paso,Pasas,Pasa,Pasamos,Pasan,Regular,Pasé,Pasaste,Pasó,Pasamos,Pasaron,Regular,Pasaba,Pasabas,Pasaba,Pasábamos,Pasaban
To study,Estudiar,Regular,Estudiando,Regular,Estudio,Estudias,Estudia,Estudiamos,Estudian,Regular,Estudié,Estudiaste,Estudió,Estudiamos,Estudiaron,Regular,Estudiaba,Estudiabas,Estudiaba,Estudiábamos,Estudiaban
To swim,Nadar,Regular,Nadando,Regular,Nado,Nadas,Nada,Nadamos,Nadan,Regular,Nadé,Nadaste,Nadó,Nadamos,Nadaron,Regular,Nadaba,Nadabas,Nadaba,Nadábamos,Nadaban
To take,Tomar,Regular,Tomando,Regular,Tomo,Tomas,Toma,Tomamos,Toman,Regular,Tomé,Tomaste,Tomó,Tomamos,Tomaron,Regular,Tomaba,Tomabas,Tomaba,Tomábamos,Tomaban
To take,Llevar,Regular,Llevando,Regular,Llevo,Llevas,Lleva,Llevamos,Llevan,Regular,Llevé,Llevaste,Llevó,Llevamos,Llevaron,Regular,Llevaba,Llevabas,Llevaba,Llevábamos,Llevaban
To take care of,Cuidar,Regular,Cuidando,Regular,Cuido,Cuidas,Cuida,Cuidamos,Cuidan,Regular,Cuidé,Cuidaste,Cuidó,Cuidamos,Cuidaron,Regular,Cuidaba,Cuidabas,Cuidaba,Cuidábamos,Cuidaban
To take out,Sacar,Regular,Sacando,Regular,Saco,Sacas,Saca,Sacamos,Sacan,Orthographic,Saqué,Sacaste,Sacó,Sacamos,Sacaron,Regular,Sacaba,Sacabas,Sacaba,Sacábamos,Sacaban
To teach,Enseñar,Regular,Enseñando,Regular,Enseño,Enseñas,Enseña,Enseñamos,Enseñan,Regular,Enseñé,Enseñaste,Enseñó,Enseñamos,Enseñaron,Regular,Enseñaba,Enseñabas,Enseñaba,Enseñábamos,Enseñaban
To tell,Decir,Stem Changing,Diciendo,"Irregular, Stem Changing",Digo,Dices,Dice,Decimos,Dicen,Irregular,Dije,Dijiste,Dijo,Dijimos,Dijeron,Regular,Decía,Decías,Decía,Decíamos,Decían
To touch,Tocar,Regular,Tocando,Regular,Toco,Tocas,Toca,Tocamos,Tocan,Orthographic,Toqué,Tocaste,Tocó,Tocamos,Tocaron,Regular,Tocaba,Tocabas,Tocaba,Tocábamos,Tocaban
To understand,Entender,Regular,Entendiendo,Stem Changing,Entiendo,Entiendes,Entiende,Entendemos,Entienden,Regular,Entendí,Entendiste,Entendió,Entendimos,Entendieron,Regular,Entendía,Entendías,Entendía,Entendíamos,Entendían
To wake up,Despertarse,Regular,Despertando,Stem Changing,Me despierto,Te despiertas,Se despierta,Nos despertamos,Se despiertan,Regular,Me desperté,Te despertaste,Se despertó,Nos despertamos,Se despertaron,Regular,Me despertaba,Te despertabas,Se despertaba,Nos despertábamos,Se despertaban
To walk,Caminar,Regular,Caminando,Regular,Camino,Caminas,Camina,Caminamos,Caminan,Regular,Caminé,Caminaste,Caminó,Caminamos,Caminaron,Regular,Caminaba,Caminabas,Caminaba,Caminábamos,Caminaban
To want,Querer,Regular,Queriendo,Stem Changing,Quiero,Quieres,Quiere,Queremos,Quieren,Irregular,Quise,Quisiste,Quiso,Quisimos,Quisieron,Regular,Quería,Querías,Quería,Queríamos,Querían
To wash,Lavar,Regular,Lavando,Regular,Lavo,Lavas,Lava,Lavamos,Lavan,Regular,Lavé,Lavaste,Lavó,Lavamos,Lavaron,Regular,Lavaba,Lavabas,Lavaba,Lavábamos,Lavaban
To watch,Mirar,Regular,Mirando,Regular,Miro,Miras,Mira,Miramos,Miran,Regular,Miré,Miraste,Miró,Miramos,Miraron,Regular,Miraba,Mirabas,Miraba,Mirábamos,Miraban
To wear,Llevar,Regular,Llevando,Regular,Llevo,Llevas,Lleva,Llevamos,Llevan,Regular,Llevé,Llevaste,Llevó,Llevamos,Llevaron,Regular,Llevaba,Llevabas,Llevaba,Llevábamos,Llevaban
To win,Ganar,Regular,Ganando,Regular,Gano,Ganas,Gana,Ganamos,Ganan,Regular,Gané,Ganaste,Ganó,Ganamos,Ganaron,Regular,Ganaba,Ganabas,Ganaba,Ganábamos,Ganaban
To work,Trabajar,Regular,Trabajando,Regular,Trabajo,Trabajas,Trabaja,Trabajamos,Trabajan,Regular,Trabajé,Trabajaste,Trabajó,Trabajamos,Trabajaron,Regular,Trabajaba,Trabajabas,Trabajaba,Trabajábamos,Trabajaban
To write,Escribir,Regular,Escribiendo,Regular,Escribo,Escribes,Escribe,Escribimos,Escriben,Regular,Escribí,Escribiste,Escribió,Escribimos,Escribieron,Regular,Escribía,Escribías,Escribía,Escribíamos,Escribían
